RHEA_ID	DIRECTION	MASTER_ID	ID
15135	RL	15133	R-HSA-70589.3
15150	LR	15149	R-HSA-965019.1
15283	RL	15281	R-HSA-6807052.1
15294	LR	15293	R-HSA-5696220.1
15306	LR	15305	R-HSA-6797955.1
15390	LR	15389	R-HSA-111930.2
15390	LR	15389	R-HSA-164377.2
15390	LR	15389	R-HSA-170676.1
15390	LR	15389	R-HSA-381607.1
15390	LR	15389	R-HSA-392129.3
15390	LR	15389	R-HSA-442715.1
15390	LR	15389	R-HSA-5211224.3
15390	LR	15389	R-HSA-5610727.2
15450	LR	15449	R-HSA-71164.3
15550	LR	15549	R-HSA-1237140.1
15554	LR	15553	R-HSA-1855208.2
15574	LR	15573	R-HSA-209821.1
15642	LR	15641	R-HSA-9012016.1
15754	LR	15753	R-HSA-111524.3
15795	RL	15793	R-HSA-189384.3
15818	LR	15817	R-HSA-965079.1
15890	LR	15889	R-HSA-70609.3
15902	LR	15901	R-HSA-71445.2
15903	RL	15901	R-HSA-71654.2
15970	LR	15969	R-HSA-5696230.1
15974	LR	15973	R-HSA-176664.2
15982	LR	15981	R-HSA-351222.1
15991	RL	15989	R-HSA-191352.1
16062	LR	16061	R-HSA-1483116.2
16062	LR	16061	R-HSA-6814132.1
16066	LR	16065	R-HSA-389639.2
16070	LR	16069	R-HSA-73608.3
16090	LR	16089	R-HSA-1483096.1
16118	LR	16117	R-HSA-5694494.1
16122	LR	16121	R-HSA-73589.2
16170	LR	16169	R-HSA-70606.2
16190	LR	16189	R-HSA-71163.3
16302	LR	16301	R-HSA-8870346.1
16302	LR	16301	R-HSA-8938076.1
16342	LR	16341	R-HSA-191422.1
16558	LR	16557	R-HSA-71223.2
16611	RL	16609	R-HSA-74213.2
16646	LR	16645	R-HSA-5690046.1
16834	LR	16833	R-HSA-3323013.1
16834	LR	16833	R-HSA-3341277.2
16834	LR	16833	R-HSA-3341397.1
16834	LR	16833	R-HSA-3343700.1
16834	LR	16833	R-HSA-71676.2
16846	LR	16845	R-HSA-70975.2
16854	LR	16853	R-HSA-73828.2
16867	RL	16865	R-HSA-192341.1
16870	LR	16869	R-HSA-2162002.2
16878	LR	16877	R-HSA-1655443.2
16878	LR	16877	R-HSA-6787757.1
16878	LR	16877	R-HSA-6814165.1
16882	LR	16881	R-HSA-9013198.1
16894	LR	16893	R-HSA-175987.3
16958	LR	16957	R-HSA-4086392.1
16958	LR	16957	R-HSA-74059.1
16990	LR	16989	R-HSA-1855225.2
17027	RL	17025	R-HSA-5661240.1
17066	LR	17065	R-HSA-191380.1
17130	LR	17129	R-HSA-73812.2
17138	LR	17137	R-HSA-76500.1
17158	LR	17157	R-HSA-200318.2
17158	LR	17157	R-HSA-200326.2
17187	RL	17185	R-HSA-514604.2
17238	LR	17237	R-HSA-196929.2
17386	LR	17385	R-HSA-1655453.3
17442	LR	17441	R-HSA-9012597.1
17454	LR	17453	R-HSA-73814.2
17474	LR	17473	R-HSA-1474146.2
17486	LR	17485	R-HSA-265296.1
